Prix,Annee,Auto_manuel,Carburant,Marque,Module,Nombre de portes,Première main,Etat,Kilometrage,Puissance_fiscale
43000,2003,Manuelle,diesel,Mercedes-Benz,270,5,Oui,Bon,194999,11
320000,2020,Automatique,diesel,Volvo,XC60,5,Non,Excellent,104999,8
269000,2014,Automatique,diesel,Porsche,Cayenne,5,Oui,Excellent,144999,12
47000,2007,Automatique,essence,Smart,Smart,3,Non,Bon,164999,6
140000,2020,Automatique,essence,Fiat,500,3,Oui,Excellent,17499,7
55000,2015,Manuelle,diesel,Ssangyong,Stavic,5,Non,Excellent,274999,8
205000,2022,Manuelle,diesel,Seat,Ibiza,5,Oui,Excellent,77499,6
240000,2020,Automatique,diesel,Jeep,Compass,5,Oui,Excellent,52499,8
432000,2021,Automatique,hybride,Volvo,S60,5,Oui,Très bon,42499,11
369000,2019,Automatique,diesel,BMW,X4,5,Oui,Excellent,104999,8
70000,2004,Manuelle,diesel,Volkswagen,Golf 5,5,Non,Très bon,424999,8
133000,2021,Manuelle,diesel,Citroen,C3,5,Non,Excellent,154999,6
390000,2020,Automatique,diesel,Volkswagen,Touareg,5,Oui,Excellent,42499,11
250000,2014,Automatique,diesel,Land Rover,Range Rover Vogue,5,Oui,Très bon,224999,18
184000,2017,Automatique,diesel,Hyundai,Santa Fe,5,Oui,Neuf,154999,8
180000,2020,Automatique,hybride,Toyota,C-HR,5,Oui,Excellent,104999,10
28000,2001,Manuelle,essence,Renault,Scenic,5,Non,Très bon,194999,11
83000,2008,Automatique,diesel,BMW,X5,5,Oui,Excellent,154999,11
163000,2017,Automatique,diesel,Volkswagen,Golf 7,5,Non,Très bon,164999,8
215000,2022,Automatique,essence,Nissan,Juke,5,Oui,Excellent,37499,6
250000,2016,Automatique,diesel,Jeep,Wrangler,5,Oui,Excellent,224999,11
68000,2009,Manuelle,diesel,Hyundai,Santa Fe,5,Oui,Excellent,124999,8
335000,2022,Automatique,diesel,Kia,Carnival,5,Oui,Excellent,82499,9
255000,2022,Automatique,hybride,Kia,K5,5,Oui,Excellent,52499,10
310000,2022,Automatique,diesel,Peugeot,3008,5,Oui,Excellent,62499,8
320000,2019,Automatique,diesel,Audi,Q3,5,Oui,Excellent,92499,8
249000,2022,Automatique,diesel,Peugeot,3008,5,Oui,Excellent,72499,8
187000,2020,Automatique,hybride,Toyota,Corolla,5,Oui,Excellent,104999,10
295000,2023,Automatique,hybride,Renault,Arkana,5,Oui,Excellent,32499,8
155000,2024,Manuelle,diesel,Dacia,Sandero,5,Oui,Très bon,42499,6
315000,2022,Automatique,diesel,Hyundai,Tucson,5,Oui,Bon,184999,6
390000,2022,Automatique,essence,Ford,Mustang,3,Oui,Excellent,62499,11
256000,2020,Automatique,hybride,Toyota,RAV 4,5,Oui,Excellent,104999,14
173000,2024,Manuelle,diesel,Opel,Corsa,5,Oui,Neuf,2499,6
240000,2022,Automatique,hybride,Toyota,C-HR,5,Oui,Excellent,12499,10
38000,2007,Manuelle,essence,Peugeot,407,5,Non,Excellent,154999,11
242000,2021,Automatique,diesel,Jeep,Cherokee,5,Oui,Excellent,97499,9
117000,2016,Manuelle,diesel,Opel,Astra,5,Non,Excellent,174999,8
238000,2018,Automatique,diesel,BMW,X1,5,Oui,Excellent,97499,8
135000,2012,Automatique,diesel,Jaguar,XF,5,Oui,Excellent,154999,8
185000,2014,Automatique,diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,124999,8
99000,2005,Automatique,diesel,Mercedes-Benz,Classe C,5,Non,Excellent,274999,9
215000,2021,Automatique,diesel,Jeep,Renegade,5,Oui,Excellent,92499,6
248000,2022,Automatique,diesel,Peugeot,3008,5,Oui,Excellent,82499,8
135000,2012,Automatique,diesel,Mercedes-Benz,Classe GLK,5,Non,Excellent,224999,9
289900,2017,Automatique,diesel,Audi,Q5,5,Oui,Excellent,144999,8
263000,2017,Automatique,diesel,Mercedes-Benz,Classe E,5,Non,Excellent,114999,8
170000,2015,Automatique,diesel,BMW,Série 3,5,Oui,Excellent,224999,8
170000,2017,Manuelle,diesel,Skoda,Octavia,5,Oui,Excellent,134999,8
415000,2019,Automatique,diesel,Mercedes-Benz,Classe GLC,5,Oui,Excellent,82499,8
158000,2019,Manuelle,diesel,Hyundai,i30,5,Non,Très bon,164999,6
460000,2018,Automatique,diesel,Mercedes-Benz,Classe E,3,Oui,Excellent,104999,8
105000,2013,Manuelle,diesel,Citroen,C4,5,Non,Très bon,82499,6
27000,1992,Manuelle,diesel,Renault,19,5,Non,Bon,194999,7
118000,2021,Manuelle,essence,Fiat,500,5,Oui,Excellent,72499,7
119000,2016,Manuelle,diesel,Skoda,Superb,5,Non,Excellent,194999,8
280000,2021,Automatique,diesel,Jeep,Cherokee,5,Oui,Excellent,57499,9
270000,2022,Automatique,diesel,Peugeot,3008,5,Non,Très bon,124999,8
58000,2011,Manuelle,essence,Nissan,Micra,5,Non,Bon,154999,7
385000,2023,Automatique,diesel,Cupra,Formentor,5,Oui,Excellent,42499,8
279000,2016,Automatique,diesel,Mercedes-Benz,Classe E,5,Oui,Excellent,134999,8
390000,2020,Automatique,diesel,Mercedes-Benz,Classe GLA,5,Oui,Excellent,62499,8
99000,2005,Automatique,diesel,Mercedes-Benz,220,5,Non,Excellent,274999,9
118000,2017,Automatique,diesel,Renault,Clio,5,Non,Excellent,164999,6
179000,2016,Manuelle,diesel,Volkswagen,Tiguan,5,Oui,Bon,134999,8
358000,2023,Automatique,diesel,Audi,A3,3,Non,Excellent,104999,8
420000,2020,Automatique,diesel,Mercedes-Benz,Classe CLA,5,Oui,Excellent,72499,8
330000,2022,Automatique,diesel,Volkswagen,Golf 8,5,Oui,Excellent,42499,8
330000,2018,Automatique,essence,BMW,X3,5,Non,Excellent,72499,11
225000,2016,Automatique,diesel,BMW,X3,5,Non,Excellent,164999,8
263000,2019,Automatique,diesel,Audi,A4,5,Oui,Excellent,97499,8
104000,2018,Automatique,essence,Fiat,500,3,Oui,Excellent,104999,6
127000,2021,Manuelle,diesel,Dacia,Dokker,5,Oui,Excellent,67499,6
98000,2010,Manuelle,diesel,Hyundai,Santa Fe,5,Non,Excellent,224999,9
169000,2012,Automatique,diesel,BMW,Série 5,5,Non,Très bon,194999,8
145000,2018,Manuelle,diesel,Fiat,500X,5,Oui,Bon,144999,6
263000,2018,Automatique,diesel,Audi,A3,5,Non,Très bon,124999,8
165000,2013,Automatique,diesel,Porsche,Cayenne,5,Non,Très bon,274999,12
170000,2024,Manuelle,diesel,Dacia,Lodgy,3,Oui,Très bon,12499,8
210000,2021,Manuelle,diesel,Volkswagen,Caddy,5,Oui,Excellent,124999,8
183000,2023,Manuelle,diesel,Opel,Corsa,5,Oui,Très bon,17499,6
176000,2023,Manuelle,diesel,Peugeot,208,5,Oui,Très bon,47499,6
349000,2023,Automatique,diesel,Peugeot,5008,5,Oui,Excellent,22499,8
354000,2020,Automatique,diesel,Jaguar,E-Pace,5,Oui,Très bon,62499,8
220000,2022,Automatique,diesel,Jeep,Renegade,5,Oui,Excellent,57499,6
151450,2021,Manuelle,diesel,Opel,Crossland,5,Non,Bon,87499,6
149000,2021,Automatique,essence,Fiat,500,5,Oui,Très bon,72499,7
95000,2013,Manuelle,diesel,Ford,Fiesta,5,Non,Très bon,134999,6
173000,2023,Manuelle,diesel,Renault,Clio,5,Oui,Très bon,67499,6
229000,2022,Automatique,essence,Jeep,Compass,5,Oui,Excellent,52499,8
169000,2023,Manuelle,diesel,Dacia,Duster,5,Oui,Excellent,77499,6
174000,2023,Manuelle,diesel,Peugeot,208,5,Oui,Excellent,22499,6
236000,2021,Manuelle,diesel,Jeep,Compass,5,Oui,Très bon,87499,6
115000,2024,Manuelle,essence,Dacia,Logan,5,Oui,Excellent,42499,6
179000,2023,Automatique,diesel,Hyundai,Accent,5,Oui,Excellent,67499,6
157000,2024,Automatique,essence,Hyundai,i10,5,Oui,Bon,17499,6
234000,2023,Automatique,diesel,Renault,Megane,5,Oui,Excellent,72499,6
273000,2019,Automatique,diesel,Peugeot,3008,5,Oui,Excellent,52499,8
315000,2019,Automatique,diesel,DS,DS,5,Oui,Très bon,77499,8
295000,2018,Automatique,diesel,Jaguar,F-Pace,5,Non,Bon,144999,8
328000,2023,Automatique,diesel,Volkswagen,T-Roc,5,Oui,Très bon,77499,8
239000,2023,Automatique,essence,MG,MG HS,5,Oui,Très bon,22499,9
193000,2022,Automatique,diesel,Dacia,Duster,5,Oui,Bon,114999,6
327000,2020,Automatique,diesel,Mercedes-Benz,Classe GLA,5,Oui,Bon,82499,9
132000,2022,Manuelle,diesel,Citroen,C-Elysée,5,Oui,Excellent,72499,6
255000,2023,Automatique,hybride,Toyota,Corolla,5,Oui,Excellent,22499,10
269000,2022,Automatique,diesel,Hyundai,Tucson,5,Oui,Excellent,82499,6
